"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","PM2.5","Ozone"
1-01-20,"Bryson City","Swain",35.434767,-83.442133,1,1,29.5,NA
1-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,1,1,13.5,NA
1-01-20,"Clemmons Middle","Forsyth",36.026,-80.342,1,1,24,NA
1-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,1,1,33,NA
1-01-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,1,NA,47
1-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,1,21.3333333333333,28
1-01-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,1,22,NA
1-01-20,"Leggett","Edgecombe",35.988278,-77.5843,1,1,11,NA
1-01-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,1,13,NA
1-01-20,"Millbrook School","Wake",35.856111,-78.574167,1,1,30.6666666666667,32.5
1-01-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,1,16.5,NA
1-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,1,1,23,26
1-02-20,"Bryson City","Swain",35.434767,-83.442133,2,1,39,NA
1-02-20,"Castle Hayne","New Hanover",34.364167,-77.838611,2,1,13,NA
1-02-20,"Clemmons Middle","Forsyth",36.026,-80.342,2,1,35,NA
1-02-20,"Durham Armory","Durham",36.0329550008979,-78.904037,2,1,37.3333333333333,NA
1-02-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2,1,7,44
1-02-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,1,33,25
1-02-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2,1,25,NA
1-02-20,"Leggett","Edgecombe",35.988278,-77.5843,2,1,15,NA
1-02-20,"Linville Falls","Avery",35.972347,-81.933072,2,1,12,NA
1-02-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2,1,11,NA
1-02-20,"Millbrook School","Wake",35.856111,-78.574167,2,1,36.5,28
1-02-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,1,23,NA
1-02-20,"West Johnston Co.","Johnston",35.59095,-78.4622,2,1,26.5,25
1-03-20,"Bryson City","Swain",35.434767,-83.442133,3,1,31,NA
